time,HEADWATER,TAILWATER,GAGE-1
3652.500000000,-1271.609372795216,-934.7448857904111,2675.694849283565
3683.500000000,-1188.261301060313,-903.5831054311511,2561.700004102387
3712.500000000,-1278.176409412399,-975.0629350202269,2720.180987579276
3743.500000000,-1442.004051015501,-1100.483634066794,3005.022456134979
3773.500000000,-1576.905330781618,-1201.101467785214,3237.266916387940
3804.500000000,-1618.962622866253,-1225.229638961634,3303.035358949385
3834.500000000,-1620.040993259021,-1226.687019744895,3305.493504804434
3865.500000000,-1311.921746361935,-962.5430474923313,2742.977924245098
3896.500000000,-1013.654634611605,-720.4638998612634,2210.746269293535
3926.500000000,-714.1293711660035,-482.6272545255694,1680.983984994927
3957.500000000,-470.5878334157231,-294.0310782653156,1254.463688712972
3987.500000000,-348.1772495000640,-192.8673089489470,1033.234260710004
4018.500000000,-369.4084006625351,-198.4542179597453,1058.892682238789
4049.500000000,-516.7420195459655,-299.7491390255558,1303.458771322499
4077.500000000,-734.9309322439304,-459.6813306119706,1675.877297777947
4108.500000000,-994.1384673572713,-650.1545441998973,2119.227982983914
4138.500000000,-1192.723088892616,-793.8198301983128,2456.976814423592
4169.500000000,-1280.349228061506,-848.2665176863148,2597.767692953071
4199.500000000,-1281.987953787324,-851.2514500012821,2602.213290051229
4230.500000000,-1028.957401652845,-624.2866274013591,2130.822167457236
4261.500000000,-749.9712588364764,-396.7025613147878,1631.889705347337
4291.500000000,-466.0770963957175,-171.1338111664436,1129.592632892654
4322.500000000,-236.3273319334293,6.301163148030753,727.5886168981754
4352.500000000,-129.8288067389288,86.91872918492028,542.4408460810197
4383.500000000,-127.1925056530750,92.91136813219049,534.1926372365382
