obsnme,obsval,weight,obgnme
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:3652.5,34.37874417,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-15-16
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:3683.5,34.35950788,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-15-16
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:3712.5,34.39971778,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-15-16
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:3743.5,34.46978825,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-15-16
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:3773.5,34.52604457,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-15-16
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:3804.5,34.54011557,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-15-16
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:3834.5,34.49631313,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-15-16
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:3865.5,34.39382619,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-15-16
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:3896.5,34.25776334,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-15-16
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:3926.5,34.12302298,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-15-16
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:3957.5,34.01544002,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-15-16
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:3987.5,33.96439746,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-15-16
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:4018.5,33.9785793,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-15-16
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:4049.5,34.04994278,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-15-16
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:4077.5,34.15037147,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-15-16
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:4108.5,34.26737999,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-15-16
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:4138.5,34.35417613,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-15-16
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:4169.5,34.3894483,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-15-16
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:4199.5,34.35965307,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-15-16
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:4230.5,34.26777675,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-15-16
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:4261.5,34.13968164,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-15-16
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:4291.5,34.01122277,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-15-16
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:4322.5,33.90907245,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-15-16
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:4352.5,33.86482819,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-15-16
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:4383.5,33.91556793,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-15-16
